iter	Passed	Remaining
0	25	25951
1	51	25449
2	75	25085
3	105	26158
4	130	25917
5	154	25547
6	179	25413
7	204	25371
8	229	25242
9	253	25091
10	277	24987
11	304	25093
12	331	25151
13	355	25063
14	380	24958
15	405	24939
16	429	24863
17	454	24782
18	481	24839
19	505	24749
20	534	24914
21	559	24891
22	585	24856
23	610	24832
24	636	24830
25	662	24823
26	687	24771
27	712	24745
28	735	24629
29	768	24840
30	793	24789
31	818	24753
32	842	24691
33	867	24656
34	892	24599
35	916	24549
36	941	24496
37	968	24513
38	995	24523
39	1020	24493
40	1044	24426
41	1073	24484
42	1098	24451
43	1130	24554
44	1156	24549
45	1182	24528
46	1210	24534
47	1234	24486
48	1259	24443
49	1284	24400
50	1309	24359
51	1333	24304
52	1356	24232
53	1382	24220
54	1409	24213
55	1435	24200
56	1460	24159
57	1483	24095
58	1510	24095
59	1535	24060
60	1559	24008
61	1584	23964
62	1608	23929
63	1647	24094
64	1673	24070
65	1697	24022
66	1720	23955
67	1748	23960
68	1772	23916
69	1796	23870
70	1822	23847
71	1848	23830
72	1876	23829
73	1901	23796
74	1927	23766
75	1952	23733
76	1977	23707
77	2003	23679
78	2028	23647
79	2058	23668
80	2084	23644
81	2109	23616
82	2135	23589
83	2159	23551
84	2184	23517
85	2209	23485
86	2236	23466
87	2264	23468
88	2290	23441
89	2314	23405
90	2339	23369
91	2363	23328
92	2388	23297
93	2413	23266
94	2438	23230
95	2463	23202
96	2490	23185
97	2517	23171
98	2544	23154
99	2569	23126
100	2594	23097
101	2620	23069
102	2645	23036
103	2671	23013
104	2699	23009
105	2727	23003
106	2752	22975
107	2777	22940
108	2802	22910
109	2828	22881
110	2853	22850
111	2878	22824
112	2908	22830
113	2933	22798
114	2958	22765
115	2984	22740
116	3008	22706
117	3032	22666
118	3058	22645
119	3084	22617
120	3112	22610
121	3137	22576
122	3162	22547
123	3186	22514
124	3211	22481
125	3235	22443
126	3259	22405
127	3284	22375
128	3310	22351
129	3338	22339
130	3363	22310
131	3390	22292
132	3415	22262
133	3440	22233
134	3466	22209
135	3489	22170
136	3517	22155
137	3546	22153
138	3572	22126
139	3596	22093
140	3620	22059
141	3646	22033
142	3671	22001
143	3696	21974
144	3719	21934
145	3748	21925
146	3776	21916
147	3803	21895
148	3831	21881
149	3863	21891
150	3891	21881
151	3921	21877
152	3950	21868
153	3981	21870
154	4007	21847
155	4032	21818
156	4057	21787
157	4083	21762
158	4115	21770
159	4144	21760
160	4187	21820
161	4224	21852
162	4251	21830
163	4276	21799
164	4300	21765
165	4325	21732
166	4355	21723
167	4385	21716
168	4415	21710
169	4446	21708
170	4475	21698
171	4504	21684
172	4530	21656
173	4555	21623
174	4580	21591
175	4605	21561
176	4632	21538
177	4659	21519
178	4684	21488
179	4709	21453
180	4733	21418
181	4756	21377
182	4783	21356
183	4807	21321
184	4831	21285
185	4858	21262
186	4885	21239
187	4910	21208
188	4934	21175
189	4959	21143
190	4983	21109
191	5009	21082
192	5036	21058
193	5060	21026
194	5088	21004
195	5114	20979
196	5138	20947
197	5167	20929
198	5192	20898
199	5216	20864
200	5240	20831
201	5265	20801
202	5291	20773
203	5318	20753
204	5343	20720
205	5367	20687
206	5391	20654
207	5415	20621
208	5440	20589
209	5464	20557
210	5489	20525
211	5515	20502
212	5541	20475
213	5565	20443
214	5590	20411
215	5615	20380
216	5639	20349
217	5663	20317
218	5688	20285
219	5712	20254
220	5740	20235
221	5769	20219
222	5795	20194
223	5822	20171
224	5848	20145
225	5875	20121
