iter	RMSE
0	0.7537588819
1	0.739163462
2	0.7244125033
3	0.7076534405
4	0.6922026273
5	0.6766664188
6	0.6616174314
7	0.6463722119
8	0.632433357
9	0.6182358231
10	0.6041712544
11	0.5916343214
12	0.578100734
13	0.5667379603
14	0.5537789206
15	0.5430211111
16	0.5327390137
17	0.5224866308
18	0.5116054829
19	0.5000589761
20	0.4899779737
21	0.4791219692
22	0.4692847024
23	0.4602221249
24	0.4509502237
25	0.4418842044
26	0.4340509167
27	0.4254958927
28	0.4168990582
29	0.4096824612
30	0.401028084
31	0.3936917009
32	0.3862407595
33	0.3791226355
34	0.3725921248
35	0.3663269372
36	0.3594974367
37	0.3526285284
38	0.3463011446
39	0.3402965338
40	0.3349447321
41	0.3288518429
42	0.3229742827
43	0.3177617624
44	0.3126558176
45	0.3074042146
46	0.3023516932
47	0.2979196314
48	0.2935895692
49	0.2885864513
50	0.284058995
51	0.2799024994
52	0.2757150596
53	0.2713709382
54	0.2677110044
55	0.2637063327
56	0.2596945559
57	0.2555740686
58	0.2518733275
59	0.2482724233
60	0.2448071431
61	0.2419924242
62	0.239403076
63	0.2369969837
64	0.2341058832
65	0.2313230536
66	0.2286429969
67	0.2258904341
68	0.2232657329
69	0.2204687786
70	0.2190540292
71	0.2165949699
72	0.2141596153
73	0.2118619592
74	0.2102045898
75	0.2079605201
76	0.206219138
77	0.2042658019
78	0.2024344463
79	0.200826152
80	0.1992413794
81	0.1974402029
82	0.1955824291
83	0.1942074643
84	0.19291003
85	0.1913074458
86	0.1897331194
87	0.1886329005
88	0.1877137466
89	0.1864417506
90	0.1850336934
91	0.1837677211
92	0.1826219227
93	0.1814971032
94	0.1802484508
95	0.1791130928
96	0.1781888005
97	0.1770776823
98	0.176254935
99	0.1752621693
100	0.1744796654
101	0.1735154217
102	0.1727386625
103	0.1717702287
104	0.1707843305
105	0.1700351255
106	0.1692825048
107	0.1684763545
108	0.1677289632
109	0.1669967996
110	0.1662879157
111	0.1654041751
112	0.164758962
113	0.1640469879
114	0.1633244878
115	0.1627716889
116	0.1619952002
117	0.1612920085
118	0.1607742643
119	0.1600143123
120	0.1593964166
121	0.1588246913
122	0.1582490536
123	0.157843266
124	0.1571522513
125	0.1566445972
126	0.1563806607
127	0.1558117149
128	0.1554192727
129	0.1549392228
130	0.1544252713
131	0.153981074
132	0.1535865888
133	0.1531725387
134	0.1527573254
135	0.1524210813
136	0.1518185472
137	0.1514705101
138	0.1509522427
139	0.1503790757
140	0.1499279564
141	0.1495735218
142	0.1492375898
143	0.1487864707
144	0.1486199827
145	0.1485053077
146	0.1480505981
147	0.1476442871
148	0.1472450495
149	0.1470666767
150	0.1466637251
151	0.1464310134
152	0.1460928601
153	0.1456623696
154	0.1452789523
155	0.1450442354
156	0.1447982527
157	0.1445569383
158	0.1442252066
159	0.1438331242
160	0.1436353156
161	0.1432645719
162	0.1429999925
163	0.1429039651
164	0.1425152742
165	0.1422121196
166	0.1417148409
167	0.1415816756
168	0.1412945194
169	0.1411252699
170	0.1408631747
171	0.140693078
