iter	Passed	Remaining
0	148	147935
1	148	74249
2	149	49629
3	149	37348
4	150	29984
5	151	25064
6	151	21553
7	152	18914
8	153	16864
9	153	15225
10	154	13878
11	154	12749
12	155	11805
13	156	10996
14	156	10281
15	157	9661
16	157	9122
17	158	8638
18	158	8207
19	159	7819
20	160	7468
21	160	7148
22	161	6857
23	161	6583
24	162	6339
25	163	6114
26	163	5904
27	164	5711
28	165	5529
29	165	5361
30	166	5196
31	166	5043
32	167	4903
33	167	4770
34	168	4645
35	169	4526
36	169	4416
37	170	4307
38	170	4206
39	171	4114
40	172	4023
41	172	3936
42	173	3853
43	173	3775
44	174	3696
45	174	3625
46	175	3557
47	175	3490
48	176	3427
49	177	3366
50	177	3304
51	178	3247
52	178	3192
53	179	3139
54	179	3088
55	180	3039
56	180	2993
57	181	2947
58	182	2904
59	182	2862
60	183	2821
61	183	2782
62	184	2751
63	185	2715
64	186	2682
65	187	2648
66	187	2613
67	188	2579
68	188	2547
69	189	2515
70	189	2482
71	190	2456
72	191	2426
73	191	2398
74	192	2372
75	192	2344
76	193	2317
77	193	2293
78	194	2268
79	195	2245
80	196	2225
81	196	2204
82	197	2182
83	198	2163
84	199	2149
85	200	2130
86	201	2110
87	201	2088
88	202	2070
89	202	2050
90	203	2032
91	204	2013
92	204	1993
93	204	1975
94	205	1957
95	206	1940
96	206	1923
97	207	1906
98	207	1888
99	207	1871
100	208	1854
101	209	1840
102	209	1824
103	210	1810
104	210	1795
105	211	1781
106	211	1766
107	212	1752
108	212	1738
109	213	1725
110	213	1711
111	214	1699
112	214	1686
113	215	1673
114	215	1661
115	216	1649
116	217	1638
117	217	1626
118	218	1615
119	218	1604
120	219	1593
121	219	1582
122	220	1571
123	220	1560
124	221	1551
125	222	1540
126	222	1527
127	222	1517
128	223	1507
129	223	1497
130	224	1487
131	224	1479
132	225	1470
133	225	1460
134	226	1451
135	227	1442
136	227	1433
137	228	1425
138	228	1417
139	229	1408
140	229	1400
141	230	1392
142	231	1384
143	231	1377
144	232	1369
145	232	1360
146	233	1353
147	233	1346
148	234	1339
149	234	1331
150	235	1324
151	236	1317
152	236	1310
153	237	1303
154	237	1296
155	238	1289
156	238	1283
157	239	1276
158	240	1270
159	240	1263
160	241	1257
161	241	1251
162	242	1245
163	243	1238
164	243	1232
165	244	1227
166	244	1220
167	245	1214
168	245	1208
169	246	1203
170	246	1197
171	247	1191
172	248	1185
173	248	1180
174	249	1174
175	249	1169
176	250	1163
177	250	1158
178	251	1153
179	252	1148
180	252	1143
181	253	1138
182	253	1133
183	254	1127
184	254	1122
185	255	1117
186	255	1112
187	256	1107
188	257	1103
189	257	1098
190	258	1093
191	258	1088
192	259	1084
193	259	1079
194	260	1075
195	260	1070
196	261	1066
197	262	1061
198	262	1057
199	263	1053
200	263	1048
201	264	1044
202	264	1040
203	265	1036
204	266	1032
